ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
goldLab;bout gold label 70cl;0;3;V;34825;100000
jack;bout jack daniel 70cl;0;9.84;V;10982;40000
jack1;bout jack daniel 1L;0;1;V;16500;0
jackBar;bout jack barrel 70cl;0;11;V;10833;60000
jackGent;bout jack gentleman 70cl;0;0;V;0;0
jackHo;bout jack honey 70cl;0;6;V;12760;40000
jackSilv;bout jack silver 70cl;0;0;V;0;0
jb;bout jb 70cl;0;0.84;V;6570;30000
jbRes;bout de jb réserve 15 ans;0;2;V;20000;60000
redLab70;bout red label 70cl;0;0;V;0;0
redLab75;red label 0.75 L;0;11.08;V;5742;35000
single;bout singleton 75cl;0;0;V;0;0
will;bout williams lawson 70cl;0;15.53;V;5456;30000

ÉNERGÉTIQUE
atomic;atomic 33cl;0;0;V;0;2000
blackColaEnergy;black cola Energy drink;0;0;V;0;2000
power;black power ;0;0;V;0;2000
redBull;red bull 33cl;0;1;V;623;2000
rox;rox 33cl;0;33;V;486;2000
speedEnergy;speed energy;0;15.5;V;312;2000
xxl;xxl 33cl;0;110;V;400;2000
